brand,model,price,processor_brand,processor_tier,num_cores,ram_memory,storage_capacity,gpu_brand,is_touch_screen,display_size,os
asus,Asus Chromebook CX1400CKA-EK0257 Laptop,6456,intel,celeron,2,4,64,intel,FALSE,14,chrome
asus,Asus Chromebook CX1400CKA-EK0335 Laptop,7216,intel,celeron,2,4,128,intel,FALSE,14,chrome
asus,Asus Chromebook CX1400FKA-EC0158 Laptop,9785,intel,celeron,2,4,64,intel,TRUE,14,chrome
asus,Asus Chromebook CX1400FKA-EC0168 Laptop,11475,intel,celeron,2,8,128,intel,TRUE,14,chrome
asus,Asus Chromebook CX1500CKA-EJ0241 Laptop,6836,intel,celeron,2,4,64,intel,FALSE,15.6,chrome
asus,Asus Chromebook CX1500CKA-EJ0247 Laptop,12473,intel,celeron,2,8,128,intel,FALSE,15.6,chrome
asus,Asus Chromebook CX1500CKA-EJ0275 Laptop,8736,intel,celeron,2,8,64,intel,FALSE,15.6,chrome
asus,Asus ROG Flow X13 GV301RC-LJ073WS Gaming Laptop,36627,amd,ryzen 9,8,16,1024,nvidia,TRUE,13.4,windows
asus,Asus ROG Flow X13 GV301RC-LJ132WS Gaming Laptop,43156,amd,ryzen 9,8,16,512,nvidia,TRUE,13.4,windows
asus,Asus ROG Flow Z13 2023 GZ301VV-MU014WS Gaming Laptop,79758,intel,core i9,14,16,1024,nvidia,TRUE,13.4,windows
asus,Asus ROG Strix G15 G513RC-HN251WS Gaming Laptop,34956,amd,ryzen 7,8,16,1024,nvidia,FALSE,15.6,windows
asus,Asus ROG Strix G16 2023 G614JI-N4151WS Gaming Laptop,72196,intel,core i9,24,16,1024,nvidia,FALSE,16,windows
asus,Asus ROG Strix G16 2023 G614JJ-N3086WS Gaming Laptop,36096,intel,core i5,10,16,512,nvidia,FALSE,16,windows
asus,Asus ROG Strix G16 2023 G614JJ-N3088WS Gaming Laptop,37996,intel,core i5,10,16,1024,nvidia,FALSE,16,windows
asus,Asus ROG Strix G16 2023 G614JU-N3200WS Gaming Laptop,46165,intel,core i7,14,16,1024,nvidia,FALSE,16,windows
asus,Asus ROG Strix G16 2023 G614JU-N3221WS Gaming Laptop,54874,intel,core i5,10,16,1024,nvidia,FALSE,16,windows
asus,Asus ROG Strix G16 2023 G614JV-N4141WS Gaming Laptop,68396,intel,core i9,24,16,1024,nvidia,FALSE,16,windows
asus,Asus ROG Strix G17 G713RC-HX109WS Gaming Laptop,32751,amd,ryzen 7,8,16,512,nvidia,FALSE,17.3,windows
asus,Asus ROG Strix SCAR 16 2023 G634JZ-N4062WS Gaming Laptop,106396,intel,core i9,24,32,1024,nvidia,FALSE,16,windows
asus,Asus ROG Strix SCAR 16 2023 G634JZ-NM057WS Gaming Laptop,102596,intel,core i9,24,32,1024,nvidia,FALSE,16,windows
asus,Asus ROG Zephyrus G14 2023 GA402NU-N2023WS Gaming Laptop,56996,amd,ryzen 7,8,16,1024,nvidia,FALSE,14,windows
asus,Asus ROG Zephyrus G14 2023 GA402XU-N2045WS Gaming Laptop,53196,amd,ryzen 9,8,16,1024,nvidia,FALSE,14,windows
asus,Asus ROG Zephyrus G14 2023 GA402XV-N2034WS Gaming Laptop,75996,amd,ryzen 9,8,32,1024,nvidia,FALSE,14,windows
asus,Asus ROG Zephyrus G14 2023 GA402XZ-N2020WS Gaming Laptop,99176,amd,ryzen 9,8,32,1024,nvidia,FALSE,14,windows
asus,Asus ROG Zephyrus G14 GA402NJ-L8094WS Gaming Laptop,49396,amd,ryzen 7,8,16,512,nvidia,FALSE,14,windows
asus,Asus ROG Zephyrus G15 2022 GA503RW-LN067WS Gaming Laptop,55096,amd,ryzen 9,8,16,1024,nvidia,FALSE,15.6,windows
asus,Asus ROG Zephyrus G16 2023 GU603ZU-N3023WS Laptop,53955,intel,core i7,14,16,1024,nvidia,FALSE,16,windows
asus,Asus ROG Zephyrus M16 2023 GU604VZ-NM050WS Laptop,94996,intel,core i9,14,32,1024,nvidia,FALSE,16,windows
asus,Asus TUF A15 FA577RM-HQ032WS Laptop,39804,amd,ryzen 7,8,16,1024,nvidia,FALSE,15.6,windows
asus,Asus TUF Gaming A15 2023 FA577XU-LP041WS Gaming Laptop,50156,amd,ryzen 9,8,16,1024,nvidia,FALSE,15.6,windows
asus,Asus TUF Gaming A15 2023 FA577XV-HQ036WS Gaming Laptop,58896,amd,ryzen 9,8,16,1024,nvidia,FALSE,15.6,windows
asus,Asus TUF Gaming A15 FA577NU-LP082W Gaming Laptop,36096,amd,ryzen 7,8,16,512,nvidia,FALSE,15.6,windows
asus,Asus TUF Gaming A16 Advantage Edition FA617XS-N3025WS Gaming Laptop,45596,amd,ryzen 9,8,16,1024,amd,FALSE,15.6,windows
asus,Asus TUF Gaming A17 FA777XU-HX026WS Gaming Laptop,51296,amd,ryzen 9,8,16,1024,nvidia,FALSE,17.3,windows
asus,Asus TUF Gaming F15  FX506HF-HN075W Gaming Laptop,20516,intel,core i5,6,8,512,nvidia,FALSE,15.6,windows
asus,Asus TUF Gaming F15 2022 FX507ZC4-HN115W Gaming Laptop,28595,intel,core i5,12,8,512,nvidia,FALSE,15.6,windows
asus,Asus TUF Gaming F15 2022 FX507ZC4-HN116W Gaming Laptop,32604,intel,core i5,12,16,512,nvidia,FALSE,15.6,windows
asus,Asus TUF Gaming F15 2023 FX507VU-LP083WS Gaming Laptop,48218,intel,core i7,14,16,512,nvidia,FALSE,15.6,windows
asus,Asus TUF Gaming F15 2023 FX507VU-LP091WS Gaming Laptop,50878,intel,core i7,14,16,1024,nvidia,FALSE,15.6,windows
asus,Asus TUF Gaming F15 2023 FX507VV-LP071WS Gaming Laptop,58896,intel,core i9,14,16,1024,nvidia,FALSE,15.6,windows
